Data;Selic;Juros;Credito
01/2015;11.82;31.39;130.957
02/2015;12.15;32.23;114.736
03/2015;12.58;32.51;136.861
04/2015;12.68;33.24;129.652
05/2015;13.15;34.18;128.876
06/2015;13.58;34.87;132.932
07/2015;13.69;35.81;133.252
08/2015;14.15;36.37;131.692
09/2015;14.15;36.85;128.899
10/2015;14.15;37.9;125.149
11/2015;14.15;38.25;130.825
12/2015;14.15;37.36;140.3
01/2016;14.15;38.87;114.085
02/2016;14.15;39.46;117.361
03/2016;14.15;40.19;127.259
04/2016;14.15;41.02;120.691
05/2016;14.15;41.39;129.595
06/2016;14.15;41.05;133.381
07/2016;14.15;41.32;124.708
08/2016;14.15;41.41;136.737
09/2016;14.15;42.05;123.699
10/2016;14.05;42.24;128.202
11/2016;13.9;42.27;136.541
12/2016;13.65;41.18;144.329
01/2017;13.17;41.41;128.865
02/2017;12.82;40.71;113.914
03/2017;12.15;40.58;144.248
04/2017;11.59;37.83;123.492
05/2017;11.15;35.98;144.59
06/2017;10.15;35.78;143.465
07/2017;10.01;36.33;137.205
08/2017;9.15;35.51;146.869
09/2017;8.35;33.57;135.764
10/2017;8.01;33.84;146.487
11/2017;7.4;33.17;149.244
12/2017;7.0;31.55;149.514
01/2018;6.9;31.88;145.632
02/2018;6.72;32.77;130.57
03/2018;6.58;32.53;145.865
04/2018;6.4;32.48;147.641
05/2018;6.4;30.9;152.335
06/2018;6.4;30.46;149.778
07/2018;6.4;29.99;151.804
08/2018;6.4;29.85;167.501
09/2018;6.4;29.79;147.344
10/2018;6.4;29.94;166.826
11/2018;6.4;29.98;173.549
12/2018;6.4;28.62;170.527
01/2019;6.4;29.98;160.092
02/2019;6.4;30.61;155.342
03/2019;6.4;31.08;156.026
04/2019;6.4;31.08;169.504
05/2019;6.4;30.94;178.7
06/2019;6.4;31.1;167.448
07/2019;6.4;30.79;185.785
08/2019;5.9;30.92;182.352
09/2019;5.71;30.22;181.452
10/2019;5.38;29.45;194.416
11/2019;4.9;29.7;188.46
12/2019;4.59;28.27;206.862
01/2020;4.4;28.12;184.829
02/2020;4.19;28.71;168.326
03/2020;3.95;28.32;172.888
04/2020;3.65;26.8;141.526
05/2020;3.01;26.11;144.917
06/2020;2.58;24.61;165.005
07/2020;2.15;24.27;176.323
08/2020;1.94;23.52;183.386
09/2020;1.9;23.09;189.846
10/2020;1.9;23.57;197.732
11/2020;1.9;23.13;206.947
12/2020;1.9;22.65;211.323
01/2021;1.9;23.8;173.565
02/2021;1.9;24.16;175.035
03/2021;2.23;24.48;203.361
04/2021;2.65;24.75;204.346
05/2021;3.29;24.11;222.556
06/2021;3.76;24.18;226.785
07/2021;4.15;24.15;230.134
08/2021;5.01;24.68;248.316
09/2021;5.43;25.24;242.179
10/2021;6.3;26.51;238.849
11/2021;7.65;27.42;259.248
12/2021;8.76;28.2;259.952
01/2022;9.15;29.1;225.807
02/2022;10.49;29.66;209.962
03/2022;11.15;31.0;259.071
04/2022;11.65;31.46;251.29
05/2022;12.51;32.04;273.553
06/2022;12.89;32.6;270.103
07/2022;13.15;33.68;273.603
08/2022;13.58;34.01;300.584
09/2022;13.65;33.74;286.725
10/2022;13.65;35.26;286.359
11/2022;13.65;36.14;288.531
12/2022;13.65;34.92;288.345
01/2023;13.65;35.27;272.369
02/2023;13.65;35.58;244.036
03/2023;13.65;36.19;289.78
04/2023;13.65;37.19;256.159
05/2023;13.65;37.27;291.42
06/2023;13.65;36.58;282.581
07/2023;13.65;36.02;292.274
08/2023;13.19;35.37;323.124
09/2023;12.97;34.81;301.178
10/2023;12.65;34.17;313.18
11/2023;12.17;34.0;317.535
12/2023;11.87;33.2;311.188
01/2024;11.65;32.25;314.735
02/2024;11.15;32.34;291.777
03/2024;11.0;32.83;305.332
04/2024;10.65;32.59;320.903
05/2024;10.46;32.52;329.443
06/2024;10.4;32.53;313.75
07/2024;10.4;32.41;351.097
08/2024;10.4;32.17;346.76
09/2024;10.5;32.29;347.949
10/2024;10.65;32.39;358.409
11/2024;11.04;32.93;342.546
12/2024;11.77;33.07;354.603
